read_code,term_code,term_description
1M8..,0,Diabetic peripheral neuropathic pain
2G510,0,Foot abnormality - diabetes related
2G54.,0,O/E - Right foot ulcer
2G55.,0,O/E - Left foot ulcer
2G5A.,0,O/E - Right diabetic foot at risk
2G5B.,0,O/E - Left diabetic foot at risk
2G5C.,0,Foot abnormality - diabetes related
2G5d.,0,O/E - Left diabetic foot at increased risk
2G5e.,0,O/E - Right diabetic foot at increased risk
2G5E.,0,O/E - Right diabetic foot at low risk
2G5F.,0,O/E - Right diabetic foot at moderate risk
2G5G.,0,O/E - Right diabetic foot at high risk
2G5H.,0,O/E - Right diabetic foot - ulcerated
2G5I.,0,O/E - Left diabetic foot at low risk
2G5J.,0,O/E - Left diabetic foot at moderate risk
2G5K.,0,O/E - Left diabetic foot at high risk
2G5L.,0,O/E - Left diabetic foot - ulcerated
2G5S.,0,O/E - right healed foot ulcer
2G5T.,0,O/E - left healed foot ulcer
2G5V.,0,O/E - right chronic diabetic foot ulcer
2G5W.,0,O/E - left chronic diabetic foot ulcer
C106.,12,Diabetes mellitus with neuropathy
C106.,13,Diabetes mellitus with polyneuropathy
C1060,0,"Diabetes mellitus, juvenile type, with neurological manifestation"
C1061,0,"Diabetes mellitus, adult onset, with neurological manifestation"
C106y,0,Other specified diabetes mellitus with neurological complications
C106z,0,Diabetes mellitus NOS with neurological manifestation
C107.,0,Diabetes mellitus with peripheral circulatory disorder
C107.,11,Diabetes mellitus with gangrene
C107.,12,Diabetes with gangrene
C1070,0,"Diabetes mellitus, juvenile type, with peripheral circulatory disorder"
C1071,0,"Diabetes mellitus, adult onset, with peripheral circulatory disorder"
C1072,0,"Diabetes mellitus, adult with gangrene"
C1073,0,IDDM with peripheral circulatory disorder
C1074,0,NIDDM with peripheral circulatory disorder
C107y,0,Other specified diabetes mellitus with peripheral circulatory complications
C107z,0,Diabetes mellitus NOS with peripheral circulatory disorder
C1085,0,Insulin dependent diabetes mellitus with ulcer
C1085,11,Type I diabetes mellitus with ulcer
C1085,12,Type 1 diabetes mellitus with ulcer
C1086,0,Insulin dependent diabetes mellitus with gangrene
C1086,11,Type I diabetes mellitus with gangrene
C1086,12,Type 1 diabetes mellitus with gangrene
C108B,0,Insulin dependent diabetes mellitus with mononeuropathy
C108B,11,Type I diabetes mellitus with mononeuropathy
C108B,12,Type 1 diabetes mellitus with mononeuropathy
C108C,0,Insulin dependent diabetes mellitus with polyneuropathy
C108C,11,Type I diabetes mellitus with polyneuropathy
C108C,12,Type 1 diabetes mellitus with polyneuropathy
C108J,0,Insulin dependent diabetes mellitus with neuropathic arthropathy
C108J,11,Type I diabetes mellitus with neuropathic arthropathy
C108J,12,Type 1 diabetes mellitus with neuropathic arthropathy
C1094,0,Non-insulin dependent diabetes mellitus with ulcer
C1094,11,Type II diabetes mellitus with ulcer
C1094,12,Type 2 diabetes mellitus with ulcer
C1095,0,Non-insulin dependent diabetes mellitus with gangrene
C1095,11,Type II diabetes mellitus with gangrene
C1095,12,Type 2 diabetes mellitus with gangrene
C109A,0,Non-insulin dependent diabetes mellitus with mononeuropathy
C109A,11,Type II diabetes mellitus with mononeuropathy
C109A,12,Type 2 diabetes mellitus with mononeuropathy
C109B,0,Non-insulin dependent diabetes mellitus with polyneuropathy
C109B,11,Type II diabetes mellitus with polyneuropathy
C109B,12,Type 2 diabetes mellitus with polyneuropathy
C109H,0,Non-insulin dependent diabetes mellitus with neuropathic arthropathy
C109H,11,Type II diabetes mellitus with neuropathic arthropathy
C109H,12,Type 2 diabetes mellitus with neuropathic arthropathy
C10A5,0,Malnutrition-related diabetes mellitus with peripheral circulatory complications
C10E5,0,Type 1 diabetes mellitus with ulcer
C10E5,11,Type I diabetes mellitus with ulcer
C10E5,12,Insulin dependent diabetes mellitus with ulcer
C10E6,0,Type 1 diabetes mellitus with gangrene
C10E6,11,Type I diabetes mellitus with gangrene
C10E6,12,Insulin dependent diabetes mellitus with gangrene
C10EB,0,Type 1 diabetes mellitus with mononeuropathy
C10EB,11,Type I diabetes mellitus with mononeuropathy
C10EB,12,Insulin dependent diabetes mellitus with mononeuropathy
C10EC,0,Type 1 diabetes mellitus with polyneuropathy
C10EC,11,Type I diabetes mellitus with polyneuropathy
C10EC,12,Insulin dependent diabetes mellitus with polyneuropathy
C10EJ,0,Type 1 diabetes mellitus with neuropathic arthropathy
C10EJ,11,Type I diabetes mellitus with neuropathic arthropathy
C10EJ,12,Insulin dependent diabetes mellitus with neuropathic arthropathy
C10F4,0,Type 2 diabetes mellitus with ulcer
C10F4,11,Type II diabetes mellitus with ulcer
C10F5,0,Type 2 diabetes mellitus with gangrene
C10F5,11,Type II diabetes mellitus with gangrene
C10FA,0,Type 2 diabetes mellitus with mononeuropathy
C10FA,11,Type II diabetes mellitus with mononeuropathy
C10FB,0,Type 2 diabetes mellitus with polyneuropathy
C10FB,11,Type II diabetes mellitus with polyneuropathy
C10FH,0,Type 2 diabetes mellitus with neuropathic arthropathy
C10FH,11,Type II diabetes mellitus with neuropathic arthropathy
F372.,0,Polyneuropathy in diabetes
F372.,11,Diabetic polyneuropathy
F372.,12,Diabetic neuropathy
F3720,0,Acute painful diabetic neuropathy
F3721,0,Chronic painful diabetic neuropathy
F3722,0,Asymptomatic diabetic neuropathy
F3y0.,0,Diabetic mononeuropathy
M0372,0,Cellulitis in diabetic foot
M2711,0,Neuropathic diabetic ulcer - foot
M2712,0,Mixed diabetic ulcer - foot
R0543,0,[D]Widespread diabetic foot gangrene